(1856,1185,2432,1472,19,9)
(3616,992,3872,1184,8,6)
(1952,2752,2336,2912,12,5)
(2848,1088,3488,1536,20,14)
(1606,2336,1958,2624,11,9)
(1740,1984,1964,2304,8,10)
(768,1472,956,1568,6,3)
(1120,1508,1408,1764,9,8)
(1568,768,1760,1088,6,10)
(928,1248,1376,1504,14,8)
(2752,2048,3008,2368,8,10)
(2336,512,2540,864,7,11)
(2336,768,2540,1024,7,8)
(2560,576,2880,864,10,9)
(1312,640,1568,1088,8,14)
(4480,800,4544,1024,2,7)
(3776,2016,4000,2272,7,8)
(3648,1152,3840,1376,7,8)
(416,2240, 672,2400,8,5)
(832,1568,1088,1856,8,9)
(3584,1824,3680,1984,3,5)
(992,1856,1184,2176,6,10)
(2304,1952,2560,2272,8,10)
(256,160,480,416,7,8)
(3648,96,3872,416,7,10)
(2848,320,3072,576,7,8)
(3744,288,3968,480,7,6)
(3744,1480,4096,1672,13,8)
(320,1824,672,2208,11,12)
(320,2368,672,2752,11,12)
(3520,2432,3872,2816,11,12)
(3936,2432,4288,2816,11,12)
(4064,352,4416,736,11,12)
(4064,672,4416,1056,11,12)
(4032,992,4384,1376,11,12)

